periodo_denuncia;anio_denuncia;Departamento;Tipo_denuncia;cantidad;dpto_pjfs;prov_pjfs;dist_pjfs
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;17;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;63;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;58;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1324;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;11;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;21;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;8;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;1;PUNO;PUNO;PUNO
ENERO - DICIEMBRE;2023;PUNO;CONTRA LA SEGURIDAD PUBLICA;5;PUNO;PUNO;PUNO
